('25.3', '80', '1006.0', 'pysaxion')
('5.2', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('4.7', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('4.8', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('4.3', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('4.6', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.7', '4', '1010.5', 'pywierden')
('3.9', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('5.5', '0', '1008.5', 'pygarage')
('25.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.5', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('25.4', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('25.3', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.6', '4', '1010.5', 'pywierden')
('5.7', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('6.1', '0', '1008.5', 'pygarage')
('25.2', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('5.8', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('5.6', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.3', '4', '1010.5', 'pywierden')
('4.5', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.3', '4', '1010.5', 'pywierden')
('4.3', '0', '1008.5', 'pygarage')
('25.0', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('3.4', '0', '1008.5', 'pygarage')
('25.1', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('1.4', '0', '1008.5', 'pygarage')
('19.3', '4', '1010.5', 'pywierden')
('25.0', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('1.0', '0', '1008.5', 'pygarage')
('19.4', '4', '1010.5', 'pywierden')
('24.9', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('2.0', '0', '1008.5', 'pygarage')
('19.3', '4', '1010.5', 'pywierden')
('2.3', '0', '1008.5', 'pygarage')
('24.9', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '4', '1010.5', 'pywierden')
('2.0', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.5', '4', '1010.5', 'pywierden')
('2.5', '0', '1008.5', 'pygarage')
('24.9', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('2.4', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1010.5', 'pywierden')
('2.0', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('3.2', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.3', '3', '1010.5', 'pywierden')
('3.9', '0', '1008.5', 'pygarage')
('24.8', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('4.5', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.2', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.0', '0', '1008.5', 'pygarage')
('24.7', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.1', '3', '1010.5', 'pywierden')
('5.1', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.4', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.3', '3', '1010.5', 'pywierden')
('5.5', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.2', '3', '1011.0', 'pywierden')
('5.8', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '4', '1011.0', 'pywierden')
('4.8', '0', '1008.5', 'pygarage')
('24.6', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('4.2', '0', '1008.5', 'pygarage')
('19.2', '3', '1010.5', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('5.0', '0', '1008.5', 'pygarage')
('19.1', '4', '1011.0', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('4.9', '0', '1008.5', 'pygarage')
('19.0', '3', '1011.0', 'pywierden')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('4.5', '0', '1008.5', 'pygarage')
('19.0', '3', '1011.0', 'pywierden')
('3.7', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.1', '4', '1011.0', 'pywierden')
('3.2', '0', '1009.0', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.1', '4', '1011.0', 'pywierden')
('4.1', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.2', '3', '1011.0', 'pywierden')
('3.3', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.0', '3', '1011.0', 'pywierden')
('3.2', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('3.5', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('2.6', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '3', '1011.0', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.5', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('2.2', '0', '1008.5', 'pygarage')
('24.5', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('1.2', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('1.3', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('1.7', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('2.1', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('3.3', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('0.5', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('0.3', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('0.1', '0', '1009.0', 'pygarage')
('24.4', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('0.4', '0', '1009.0', 'pygarage')
('18.7', '4', '1011.0', 'pywierden')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('0.7', '0', '1009.0', 'pygarage')
('18.6', '4', '1011.0', 'pywierden')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('1.3', '0', '1009.0', 'pygarage')
('18.8', '4', '1011.0', 'pywierden')
('24.2', '0', '1006.5', 'pysaxion')
('2.0', '1', '1009.0', 'pygarage')
('-4.3', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('2.5', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('3.0', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.0', 'pywierden')
('3.3', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('0.8', '0', '1009.0', 'pygarage')
('24.3', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('18.7', '4', '1011.0', 'pywierden')
('1.5', '0', '1009.0', 'pygarage')
('24.1', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('1.9', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.7', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.5', 'pygronau')
('19.0', '4', '1011.5', 'pywierden')
('2.8', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.4', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.5', 'pywierden')
('2.5', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.3', '0', '1006.5', 'pygronau')
('18.9', '4', '1011.0', 'pywierden')
('2.0', '0', '1009.0', 'pygarage')
('24.2', '0', '1006.5', 'pysaxion')
('-4.2', '0', '1006.5', 'pygronau')
('18.8', '4', '1011.5', 'pywierden')
('20.5', '183', '1015.0', 'pywierden')
('-4.3', '18', '1010.0', 'pygronau')
('0.7', '39', '1013.0', 'pygarage')
('20.7', '184', '1015.0', 'pywierden')
('25.3', '129', '1010.5', 'pysaxion')
('-4.3', '17', '1010.5', 'pygronau')
('0.9', '40', '1013.0', 'pygarage')
('20.8', '188', '1015.0', 'pywierden')
('25.4', '147', '1010.5', 'pysaxion')
('-4.2', '18', '1010.0', 'pygronau')
('0.7', '43', '1013.0', 'pygarage')
('20.7', '185', '1015.0', 'pywierden')
('0.5', '44', '1013.0', 'pygarage')
('25.3', '158', '1010.5', 'pysaxion')
('-4.2', '17', '1010.5', 'pygronau')
('20.8', '191', '1015.0', 'pywierden')
('0.9', '47', '1013.0', 'pygarage')
('25.5', '160', '1010.5', 'pysaxion')
('-4.3', '16', '1010.5', 'pygronau')
('20.9', '192', '1015.0', 'pywierden')
('1.3', '42', '1013.5', 'pygarage')
('25.5', '165', '1010.5', 'pysaxion')
('-4.2', '17', '1010.5', 'pygronau')
('20.8', '193', '1015.0', 'pywierden')
('19.2', '150', '1015.0', 'pywierden')
('7.1', '0', '1008.5', 'pygarage')
('17.9', '5', '1011.0', 'pywierden')
('25.0', '72', '1006.5', 'pysaxion')
('-4.6', '0', '1007.0', 'pygronau')
('7.3', '0', '1008.0', 'pygarage')
('17.8', '5', '1011.0', 'pywierden')
('25.0', '72', '1006.5', 'pysaxion')
('-4.8', '0', '1007.0', 'pygronau')
('7.0', '0', '1008.5', 'pygarage')
('17.7', '5', '1011.0', 'pywierden')
('24.9', '72', '1006.5', 'pysaxion')
('17.8', '5', '1010.5', 'pywierden')
('24.9', '73', '1006.5', 'pysaxion')
('17.7', '5', '1010.5', 'pywierden')
('5.9', '0', '1008.5', 'pygarage')
('24.9', '72', '1006.5', 'pysaxion')
('-4.8', '0', '1006.5', 'pygronau')
('6.2', '0', '1008.5', 'pygarage')
('17.6', '5', '1010.5', 'pywierden')
